x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
19300,12145.337,12166.1543,2.246516301,39227286
19301,18.4171,67.3301,0.047974046,268435455
19302,20.723301,62.2231,2.246446549,39227895
19303,20.549299,70.059199,0.047974046,268435455
19304,18.8865,54.648201,0.047974046,268435455
19305,20.6792,61.9092,2.246555474,39226944
19306,21.053201,62.3175,0.047974046,268435455
19307,20.712,61.9336,2.246934769,39223633
19308,21.0087,62.4421,2.246540011,39227079
19309,20.776599,67.207899,2.246456971,39227804
19310,20.5135,62.133401,2.246500953,39227420
19311,20.7282,62.1694,0.047974046,268435455
19312,18.107101,64.7166,2.246505535,39227380
19313,18.5712,51.9131,2.245991349,39231870
19314,20.6813,62.234,2.246599573,39226559
19315,20.8143,62.092299,2.247050489,39222623
19316,20.650299,62.0822,0.047974046,268435455
19317,20.916299,62.363,0.047974046,268435455
19318,20.7149,61.967001,0.047974046,268435455
19319,20.7648,62.3417,0.047974046,268435455
19320,15.2477,56.6208,0.047974046,268435455
19321,18.2645,62.4082,0.047974046,268435455
19322,20.5367,62.100899,2.246661657,39226017
19323,18.455101,59.529801,0.047974046,268435455
19324,20.3521,62.2568,0.047974046,268435455
19325,20.934901,62.296,0.047974046,268435455
19326,20.862,62.1369,2.246501411,39227416
19327,20.544699,62.039999,0.047974046,268435455
19328,20.726399,62.2021,0.047974046,268435455
19329,20.745999,62.2641,2.242974499,39258245
19330,20.813201,62.380601,2.247024365,39222851
19331,20.761299,62.059999,0.047974046,268435455
19332,17.620199,58.9857,0.047974046,268435455
19333,20.531,60.056901,0.047974046,268435455
19334,20.724,62.118,2.246495455,39227468
19335,20.8231,62.3229,0.047974046,268435455
19336,20.7443,62.067799,2.246227119,39229811
19337,20.971301,52.038201,2.245101046,39239648
19338,20.700599,61.931099,0.047974046,268435455
19339,18.193699,57.0778,0.047974046,268435455
19340,20.6411,62.112901,2.247871904,39215456
19341,20.5335,62.1328,0.047974046,268435455
19342,20.6456,62.1972,0.047974046,268435455
19343,20.752799,62.126099,0.047974046,268435455
19344,20.4442,62.1249,0.047974046,268435455
19345,18.5122,67.527601,0.047974046,268435455
19346,20.9571,62.226,0.047974046,268435455
19347,12.3305,53.7404,0.047974046,268435455
19348,18.528899,65.240499,0.047974046,268435455
19349,20.695799,62.214,0.047974046,268435455
19350,20.608099,62.1382,0.047974046,268435455
19351,20.126299,61.6755,0.047974046,268435455
19352,18.340801,62.745601,0.047974046,268435455
19353,20.6859,62.1668,0.047974046,268435455
19354,20.835401,62.1756,0.047974046,268435455
19355,20.6997,51.7101,0.047974046,268435455
19356,18.384199,57.091799,0.047974046,268435455
19357,20.533399,61.9702,0.047974046,268435455
19358,20.7614,51.986401,0.047974046,268435455
