x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
8047,53232.0974,53275.3835,0.047974046,268435455
8048,18.627001,59.3994,0.047974046,268435455
8049,18.6507,64.5591,0.047974046,268435455
8050,18.264,62.0101,0.047974046,268435455
8051,20.8251,62.291,0.047974046,268435455
8052,20.8975,62.2976,2.246508398,39227355
8053,20.7019,64.5304,2.246643559,39226175
8054,19.855901,59.6843,2.245641712,39234924
8055,18.697,61.8769,0.047974046,268435455
8056,20.8027,62.2909,0.047974046,268435455
8057,20.757101,62.0507,2.246426849,39228067
8058,20.7429,62.2,0.047974046,268435455
8059,20.5784,62.0491,0.047974046,268435455
8060,20.5202,62.132,2.24070344,39278135
8061,20.7045,62.1981,2.24482907,39242025
8062,20.758001,62.1908,0.047974046,268435455
8063,20.1361,61.536499,2.246516874,39227281
8064,20.8485,60.248701,2.245751838,39233962
8065,18.0206,59.3351,0.047974046,268435455
8066,18.772699,64.816599,0.047974046,268435455
8067,20.703601,62.218201,2.244871516,39241654
8068,20.7109,62.1443,0.047974046,268435455
8069,20.7394,62.100499,2.246659481,39226036
8070,20.906801,62.425401,0.047974046,268435455
8071,20.6764,62.001399,0.047974046,268435455
8072,20.849499,62.3028,0.047974046,268435455
8073,15.1249,56.632701,2.245993753,39231849
8074,20.6118,70.1892,0.047974046,268435455
8075,20.6685,62.2578,0.047974046,268435455
8076,20.8484,62.3332,2.24640589,39228250
8077,20.755001,62.1004,2.246782398,39224963
8078,18.6498,59.543,2.246578726,39226741
8079,20.5968,61.9824,0.047974046,268435455
8080,18.4217,59.6475,2.246763495,39225128
8081,20.4069,62.1089,0.047974046,268435455
8082,20.7378,67.4491,2.246444602,39227912
8083,20.877601,62.2161,2.246766245,39225104
8084,20.6158,62.1167,2.246486292,39227548
8085,10.1049,51.6155,2.246468997,39227699
8086,20.750799,59.825399,2.246538522,39227092
8087,18.2896,54.436101,2.246631302,39226282
8088,20.8835,62.252,0.047974046,268435455
8089,20.4461,61.9692,0.047974046,268435455
8090,20.731499,70.073799,2.246540125,39227078
8091,20.6564,62.194101,2.246755476,39225198
8092,20.792,62.2245,0.047974046,268435455
8093,12.813299,54.149599,0.047974046,268435455
8094,20.558201,59.891601,0.047974046,268435455
8095,18.522901,54.282,2.246608736,39226479
8096,20.5571,62.1703,2.246150395,39230481
8097,20.6779,62.1352,2.248756629,39207741
8098,20.7152,62.1563,2.246756049,39225193
8099,20.8186,62.2767,0.047974046,268435455
8100,18.5486,57.127199,0.047974046,268435455
8101,20.6931,61.870601,2.247144447,39221803
8102,20.7542,62.284,0.047974046,268435455
8103,17.744899,59.234599,0.047974046,268435455
8104,20.7074,59.8046,0.047974046,268435455
8105,20.4824,62.100501,0.047974046,268435455
8106,20.737399,57.091599,2.227495928,39394409
8107,18.4242,56.959201,0.047974046,268435455
8108,17.623,58.9761,0.047974046,268435455
8109,18.294699,65.138099,0.047974046,268435455
8110,20.6047,62.150301,2.24741226,39219466
8111,20.591501,62.1846,0.047974046,268435455
8112,20.6585,62.1952,2.241735779,39269090
8113,20.7351,62.2598,2.246253458,39229581
