x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
14810,13332.2913,13353.2184,0.047974046,268435455
14811,20.8957,67.380199,2.246221623,39229859
14812,20.742299,62.0694,2.245744625,39234025
14813,18.497899,54.5711,2.247169083,39221588
14814,20.7094,61.915501,0.047974046,268435455
14815,20.911499,62.422499,2.215306226,39502644
14816,20.8432,62.112601,2.246283692,39229317
14817,18.084599,56.798999,2.246154861,39230442
14818,18.732401,60.697101,2.246124974,39230703
14819,20.652199,56.012499,2.244156722,39247903
14820,9.7876,56.417601,0.047974046,268435455
14821,20.7731,60.022,0.047974046,268435455
14822,20.832899,70.075899,2.245436021,39236721
14823,20.6961,67.3069,0.047974046,268435455
14824,20.736799,59.5785,2.246227119,39229811
14825,20.9009,62.307901,0.047974046,268435455
14826,20.6712,62.0092,2.246273385,39229407
14827,18.452601,54.4417,2.246223684,39229841
14828,20.267299,62.147199,0.047974046,268435455
14829,20.8111,62.207401,2.246580444,39226726
14830,20.598,62.1713,2.246290677,39229256
14831,20.730899,62.139599,2.246467738,39227710
14832,20.4877,61.950901,2.246819057,39224643
14833,18.689501,62.4113,0.047974046,268435455
14834,17.5178,58.9218,0.047974046,268435455
14835,18.4681,65.4711,0.047974046,268435455
14836,20.701501,62.1789,0.047974046,268435455
14837,17.9374,59.227,0.047974046,268435455
14838,18.783801,67.748,0.047974046,268435455
14839,20.685099,62.070099,2.246381381,39228464
14840,20.6499,62.140801,2.246396041,39228336
14841,20.6766,62.1369,0.047974046,268435455
14842,20.5012,70.0166,0.047974046,268435455
14843,18.5661,67.2738,2.246040469,39231441
14844,20.7987,62.2777,2.246567844,39226836
14845,20.827101,62.1329,0.047974046,268435455
14846,20.7054,62.1208,0.047974046,268435455
14847,20.862401,62.3177,0.047974046,268435455
14848,20.788999,62.140699,2.246350688,39228732
14849,17.7253,59.031601,0.047974046,268435455
14850,20.372999,60.026199,0.047974046,268435455
14851,18.9901,52.057101,2.246272011,39229419
14852,20.6216,61.7922,0.047974046,268435455
14853,20.8577,52.1225,2.246522486,39227232
14854,12.4135,53.759299,2.246439448,39227957
14855,20.6806,60.155601,0.047974046,268435455
14856,20.528101,62.1209,2.247144447,39221803
14857,18.419599,67.302799,2.246570021,39226817
14858,20.632899,62.3307,0.047974046,268435455
14859,20.606799,61.9646,2.246535658,39227117
14860,13.029901,59.351101,0.047974046,268435455
14861,20.7309,59.7867,0.047974046,268435455
14862,9.7991,53.7047,0.047974046,268435455
14863,18.6591,62.7811,2.246096347,39230953
14864,20.6838,62.1664,2.246221966,39229856
14865,20.678301,62.1693,0.047974046,268435455
14866,20.7785,62.3329,2.246921364,39223750
14867,20.7386,62.0694,2.246215439,39229913
14868,20.735,62.1901,0.047974046,268435455
14869,20.6285,62.0148,0.047974046,268435455
14870,20.6288,62.1415,2.24630087,39229167
14871,15.339099,56.878299,0.047974046,268435455
14872,18.874301,52.220401,11.49377236,17342502
14873,18.5515,59.3904,11.43946748,17383617
14874,20.730499,62.334199,11.42980538,17390963
14875,20.5883,62.107001,11.38573605,17424587
14876,18.5239,62.2164,11.38722079,17423451
14877,19.194501,64.5259,11.38892676,17422146
14878,20.7381,51.976,11.39053112,17420919
14879,18.5905,57.213,11.39124777,17420371
14880,15.205001,56.6179,11.39184807,17419912
14881,20.5763,70.1278,11.39244189,17419458
14882,20.7384,62.2045,11.39284215,17419152
14883,18.6309,59.736599,11.39354855,17418612
14884,20.504501,62.006201,11.39367937,17418512
14885,20.6185,62.132,11.39343604,17418698
14886,20.7812,62.2879,11.39161527,17420090
14887,15.431399,56.850899,11.3865189,17423988
14888,20.762,59.737201,11.37981437,17429120
14889,20.453399,62.096199,11.37590961,17432111
14890,20.7093,62.2267,11.40006751,17413631
14891,20.9155,62.316201,11.75135262,17151382
14892,20.450999,61.850399,0.047974046,268435455
14893,20.888701,62.405501,2.246315758,39229037
14894,20.6576,62.012,0.047974046,268435455
14895,20.578001,64.8225,2.245958603,39232156
14896,20.6316,62.202199,2.246043217,39231417
14897,19.254301,51.696101,0.047974046,268435455
14898,18.6157,62.1092,2.203844746,39605231
14899,12.9495,59.1053,0.047974046,268435455
14900,20.8555,60.2104,2.246346794,39228766
14901,20.236001,62.029,2.240943057,39276035
14902,20.9083,59.6911,2.246347137,39228763
14903,7.5072,51.362199,0.047974046,268435455
14904,20.937901,60.086401,0.047974046,268435455
14905,9.795501,51.0897,2.246456971,39227804
14906,20.671799,60.036599,0.047974046,268435455
14907,20.4895,62.170201,2.24636466,39228610
14908,10.003901,51.6048,0.047974046,268435455
14909,20.429499,59.771299,0.047974046,268435455
14910,20.8358,62.3354,0.047974046,268435455
14911,17.9198,64.207901,0.047974046,268435455
14912,20.772399,60.023199,0.047974046,268435455
14913,12.9769,61.7831,2.246371875,39228547
