x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
14505,22576.9296,22597.5267,2.243280767,39255565
14506,20.7415,62.0633,2.246455941,39227813
14507,17.959999,64.230099,0.047974046,268435455
14508,20.767199,60.2315,2.246383099,39228449
14509,18.585401,67.150801,0.047974046,268435455
14510,20.6936,62.246699,2.246027645,39231553
14511,20.884199,62.2244,2.246401309,39228290
14512,20.7215,62.069201,0.047974046,268435455
14513,20.6002,62.2804,2.245906966,39232607
14514,20.7921,62.1743,0.047974046,268435455
14515,20.8533,62.2257,2.246380465,39228472
14516,20.6722,62.0081,2.246989993,39223151
14517,20.9208,62.4486,0.047974046,268435455
14518,20.729299,61.945999,2.246383442,39228446
14519,20.7476,70.103801,2.246535658,39227117
14520,20.5082,61.9802,0.047974046,268435455
14521,20.8896,62.4403,2.223609362,39428822
14522,20.5586,61.7325,2.245876397,39232874
14523,20.8391,57.3534,0.047974046,268435455
14524,20.7879,62.0692,2.246046538,39231388
14525,20.9715,67.506899,2.246359048,39228659
14526,20.5034,61.9299,2.246487438,39227538
14527,18.562099,67.3751,0.047974046,268435455
14528,20.7795,62.248201,2.24620456,39230008
14529,15.2299,56.5444,0.047974046,268435455
14530,20.986499,60.176999,2.245666095,39234711
14531,20.4509,61.849301,2.246430972,39228031
14532,18.4033,54.432999,0.047974046,268435455
14533,20.704,62.246701,0.047974046,268435455
14534,17.609199,59.262999,0.047974046,268435455
14535,20.486601,52.067101,2.246234105,39229750
14536,15.1777,56.560499,2.246720652,39225502
14537,18.6947,67.761601,0.047974046,268435455
14538,20.6893,62.091399,0.047974046,268435455
14539,20.768501,62.174001,0.047974046,268435455
14540,17.5652,59.1807,0.047974046,268435455
14541,20.5124,60.068599,0.047974046,268435455
14542,20.6445,62.067601,2.245899982,39232668
14543,20.434,62.1888,0.047974046,268435455
14544,20.9115,57.2926,0.047974046,268435455
14545,15.947299,64.356999,2.246294342,39229224
14546,20.912101,59.959901,0.047974046,268435455
14547,20.694599,67.308899,0.047974046,268435455
14548,20.7113,51.752901,2.246620878,39226373
14549,15.1331,56.5546,0.047974046,268435455
14550,20.701101,59.8979,0.047974046,268435455
14551,20.7814,64.7447,2.247299605,39220449
14552,10.0118,51.582899,0.047974046,268435455
14553,18.8316,62.4991,0.047974046,268435455
14554,20.6977,62.085201,0.047974046,268435455
14555,20.701099,62.130299,0.047974046,268435455
14556,20.578301,62.176701,0.047974046,268435455
14557,17.884601,59.3643,0.047974046,268435455
14558,20.320499,59.850599,0.047974046,268435455
14559,19.143,64.892101,0.047974046,268435455
14560,20.6882,62.0711,0.047974046,268435455
14561,20.555799,62.132899,0.047974046,268435455
14562,19.2379,64.887,0.047974046,268435455
14563,20.734899,62.0137,0.047974046,268435455
14564,20.6091,62.071101,0.047974046,268435455
14565,20.5243,62.246699,0.047974046,268435455
14566,20.6511,62.133601,0.047974046,268435455
14567,17.854799,59.546199,0.047974046,268435455
14568,20.929301,59.803501,0.047974046,268435455
14569,20.5913,59.4486,0.047974046,268435455
14570,21.2182,62.5904,0.047974046,268435455
14571,20.7793,59.2357,0.047974046,268435455
14572,20.7172,64.6344,0.047974046,268435455
14573,20.7636,62.2107,0.047974046,268435455
14574,20.6066,62.0221,0.047974046,268435455
14575,20.649501,62.1676,0.047974046,268435455
14576,13.0556,54.236799,0.047974046,268435455
