x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
19861,11817.067,11817.09,2.246461782,39227762
19862,17.929299,56.255199,2.246477015,39227629
19863,20.8454,60.235201,0.047974046,268435455
19864,20.108301,61.7609,0.047974046,268435455
19865,18.281599,62.205599,2.246387565,39228410
19866,20.5325,52.057601,0.047974046,268435455
19867,15.1855,56.675999,2.246510918,39227333
19868,18.4499,62.509001,0.047974046,268435455
19869,20.7128,62.2074,2.246429483,39228044
19870,20.533601,62.177,2.246504733,39227387
19871,20.8217,62.2844,2.24650164,39227414
19872,20.6281,62.2579,2.246539209,39227086
19873,20.6348,61.9576,2.246540813,39227072
19874,20.5023,59.563099,2.246427422,39228062
19875,18.351601,67.357401,0.047974046,268435455
19876,20.8038,62.179999,2.24650416,39227392
19877,20.2368,61.644801,0.047974046,268435455
19878,20.612701,59.9723,2.245654304,39234814
19879,20.7824,62.4524,0.047974046,268435455
19880,20.567401,61.9276,0.047974046,268435455
19881,20.2253,61.7126,0.047974046,268435455
19882,20.7639,60.115,0.047974046,268435455
19883,20.679601,62.0614,2.246501411,39227416
19884,20.961901,62.4622,2.246610913,39226460
19885,20.6954,61.8953,0.047974046,268435455
19886,20.7213,62.268199,0.047974046,268435455
19887,20.6364,61.9937,2.246589035,39226651
19888,9.5566,51.0224,2.246956193,39223446
19889,18.958199,68.3574,2.246499579,39227432
19890,20.929399,62.0602,0.047974046,268435455
19891,20.554501,61.875601,2.246820317,39224632
19892,20.918899,62.468499,2.24621624,39229906
19893,17.6677,58.9093,2.2470435,39222684
19894,20.580799,52.2747,0.047974046,268435455
19895,20.621899,69.922,0.047974046,268435455
19896,18.180101,64.864101,0.047974046,268435455
19897,20.745999,70.097999,0.047974046,268435455
19898,10.310801,51.739701,2.247342122,39220078
19899,20.955,54.528899,0.047974046,268435455
19900,20.8794,62.1111,0.047974046,268435455
19901,20.898901,62.144201,0.047974046,268435455
19902,20.7273,61.9934,0.047974046,268435455
19903,20.9231,62.4147,0.047974046,268435455
19904,20.7624,62.0832,0.047974046,268435455
19905,18.685499,59.439499,0.047974046,268435455
19906,20.286701,62.496101,0.047974046,268435455
19907,20.6906,61.8953,0.047974046,268435455
19908,18.3711,64.7662,0.047974046,268435455
19909,20.5587,62.2419,0.047974046,268435455
19910,20.720499,69.937999,0.047974046,268435455
19911,20.649399,62.3028,0.047974046,268435455
19912,19.128801,54.228201,0.047974046,268435455
19913,20.542901,62.1691,0.047974046,268435455
19914,18.6301,64.8176,0.047974046,268435455
19915,17.9821,59.5051,0.047974046,268435455
19916,20.869799,51.967399,0.047974046,268435455
19917,20.5578,62.011701,0.047974046,268435455
19918,20.7498,62.2485,0.047974046,268435455
19919,20.5363,62.1201,0.047974046,268435455
19920,20.804701,62.2257,0.047974046,268435455
19921,20.678099,62.077099,2.245365861,39237334
19922,9.6235,51.1271,0.047974046,268435455
19923,20.504601,60.283401,0.047974046,268435455
19924,20.9529,59.7189,0.047974046,268435455
19925,20.700199,62.120699,0.047974046,268435455
19926,20.821801,62.180701,2.246432919,39228014
19927,13.3036,51.4223,2.246051118,39231348
19928,20.853399,57.474299,2.246951496,39223487
19929,9.724299,51.0673,0.047974046,268435455
19930,20.9139,60.095601,0.047974046,268435455
19931,20.473901,61.9693,0.047974046,268435455
19932,18.634,54.529699,0.047974046,268435455
19933,20.570201,62.102601,0.047974046,268435455
19934,20.8022,62.2549,0.047974046,268435455
19935,20.656601,62.028,0.047974046,268435455
19936,20.7559,62.2305,0.047974046,268435455
19937,20.724401,62.2331,0.047974046,268435455
19938,20.8105,62.2091,0.047974046,268435455
19939,20.5551,62.0282,0.047974046,268435455
19940,15.821801,56.9889,0.047974046,268435455
19941,20.407399,59.637299,0.047974046,268435455
19942,20.736,57.007701,0.047974046,268435455
19943,14.744501,56.2826,0.047974046,268435455
19944,20.741401,60.2196,0.047974046,268435455
19945,20.436599,62.107299,0.047974046,268435455
19946,20.7648,54.434801,0.047974046,268435455
19947,20.626099,62.005299,0.047974046,268435455
19948,18.1875,59.681301,0.047974046,268435455
19949,15.328299,56.992899,0.047974046,268435455
19950,20.8034,54.494401,0.047974046,268435455
19951,20.699901,62.0824,0.047974046,268435455
19952,20.530899,69.952299,0.047974046,268435455
19953,20.7955,62.3003,2.245700094,39234414
19954,18.2666,64.6256,2.246808632,39224734
19955,20.5953,62.276501,2.244639505,39243682
19956,20.6474,62.0509,0.047974046,268435455
19957,20.6248,62.1861,0.047974046,268435455
19958,20.5099,62.126999,0.047974046,268435455
19959,20.9479,62.4315,2.246157839,39230416
19960,20.1517,61.6135,2.246657877,39226050
19961,19.218999,65.2823,0.047974046,268435455
19962,18.432301,67.136201,0.047974046,268435455
19963,15.2622,56.7468,0.047974046,268435455
19964,18.852599,52.217399,0.047974046,268435455
19965,20.865001,62.161601,2.247179969,39221493
19966,18.256299,59.560299,0.047974046,268435455
19967,20.2439,61.5899,2.246972463,39223304
19968,20.570801,67.925001,0.047974046,268435455
19969,20.666199,62.086799,0.047974046,268435455
19970,20.805501,62.307501,2.246816651,39224664
19971,20.6432,62.0737,0.047974046,268435455
19972,18.601201,57.1601,0.047974046,268435455
19973,20.7918,62.0897,2.246536345,39227111
19974,20.8825,62.2184,0.047974046,268435455
19975,20.695901,69.8305,0.047974046,268435455
19976,20.4956,62.2391,0.047974046,268435455
19977,18.8747,54.5637,0.047974046,268435455
19978,20.6681,62.0777,2.246526266,39227199
19979,20.659401,62.0716,2.247684361,39217092
19980,20.6086,62.2358,2.24652787,39227185
19981,18.345401,61.9999,0.047974046,268435455
19982,20.6982,62.1704,0.047974046,268435455
19983,20.7023,62.1889,0.047974046,268435455
19984,14.7727,56.2952,0.047974046,268435455
19985,18.7922,52.5281,0.047974046,268435455
19986,20.6609,62.0398,0.047974046,268435455
19987,20.6323,62.3267,2.246585598,39226681
19988,18.703701,59.5953,0.047974046,268435455
19989,20.4691,51.648499,0.047974046,268435455
19990,20.8069,62.270401,0.047974046,268435455
