x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
15153,20.688787,61.48379701,3.301963208,32356157
15154,20.679761,62.19969204,3.302953117,32351308
15155,20.783966,62.272719,3.301474236,32358553
15156,26.969802,68.373221,3.302075058,32355609
15157,20.783145,55.92524099,3.302950054,32351323
15158,20.666222,62.09097502,3.303760439,32347355
15159,20.482017,62.24153899,3.304374553,32344349
15160,20.635864,62.06307799,3.306386026,32334509
15161,20.457813,62.143898,3.330854159,32215527
15162,20.655146,62.22553901,3.389356089,31936289
15163,20.651453,62.265744,3.390956439,31928752
15164,20.772889,62.18697503,3.391831303,31924634
15165,20.592377,62.342462,3.392449096,31921727
15166,20.631351,61.944924,3.393426815,31917128
15167,20.80653,62.29281999,3.394442611,31912352
15168,20.609607,62.09795001,3.394694078,31911170
15169,20.909914,62.48481999,3.395139639,31909076
15170,20.649813,61.77877101,3.395048137,31909506
15171,19.658224,62.28953801,3.395072182,31909393
15172,20.6133,62.09918099,3.395174752,31908911
15173,20.616582,62.267385,3.395102612,31909250
15174,20.599351,62.048308,3.395144108,31909055
15175,20.88735,62.449949,3.39518901,31908844
15176,20.678941,61.97979598,3.395134532,31909100
15177,20.655146,62.41056402,3.395044945,31909521
15178,20.6453,61.82800101,3.394978768,31909832
15179,20.519761,62.19969299,3.395371817,31907985
15180,20.621094,62.216923,3.395076864,31909371
15181,20.937812,62.697744,3.394799822,31910673
15182,20.174326,61.642565,3.394767481,31910825
15183,20.569402,62.12461599,3.394677908,31911246
15184,20.658017,62.124616,3.39511687,31909183
15185,20.637095,62.24605202,3.395091121,31909304
15186,20.544377,62.06717999,3.395089632,31909311
15187,19.792788,62.238257,3.395113678,31909198
15188,20.545197,62.312923,3.395174752,31908911
15189,21.244272,62.55169203,3.395325209,31908204
15190,20.512787,61.581848,3.395559321,31907104
15191,21.118324,62.73138401,3.395491852,31907421
15192,20.773709,61.71682199,3.395615086,31906842
15193,20.781914,62.23374403,3.395624877,31906796
15194,20.632171,62.03477,3.395863491,31905675
