x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
21658,20.615761,61.24584797,3.758461671,30327596
21659,19.99668499,62.39415404,3.772747633,30270122
21660,22.075041,63.43087,3.759018917,30325348
21661,20.676069,60.88851604,3.782644466,30230497
21662,19.791967,62.13076901,3.728669036,30448516
21663,20.652274,62.15046299,3.794932242,30181515
21664,19.524891,62.28215399,3.798067045,30169057
21665,20.605505,62.05241105,3.954060011,29567964
21666,20.698633,62.15989795,4.320501087,28286290
21667,20.618222,62.18779501,4.605432031,27397306
21668,20.696171,62.14020604,4.883001986,26607226
21669,18.468072,62.30512801,5.552293058,24952086
21670,24.856575,66.23332801,5.055615861,26149056
21671,20.669914,57.95190397,4.909647404,26534927
21672,19.765711,62.09877002,4.612598332,27376015
21673,22.093913,63.69589606,4.231565925,28581992
21674,20.719966,60.72400308,4.325595253,28269629
21675,20.344172,62.15661588,4.220899287,28618084
21676,20.727761,62.11312902,4.165762973,28806850
21677,19.867865,62.14348701,4.108624281,29006467
21678,20.045505,62.2431801,4.069108219,29146971
21679,21.67422,63.35866511,4.118530119,28971563
21680,20.667453,60.95087498,4.071506882,29138384
21681,18.850021,62.19518006,4.191943616,28716753
21682,20.737607,62.19559002,4.179957347,28757897
21683,20.667454,62.17220604,4.105906044,29016067
21684,19.826839,62.13199997,4.266787768,28463777
21685,20.688786,62.16810298,4.700073806,27120064
21686,20.549299,62.14348811,5.508510239,25051052
21687,21.412888,62.97753808,4.457850122,27847122
21688,20.639966,61.3258481,3.879768453,29849712
21689,18.553406,62.18205205,3.862085484,29917969
21690,20.675658,62.21815404,3.752057545,30353467
21691,20.617813,62.17712903,3.776309758,30255842
21692,20.717094,62.16318002,3.82785336,30051448
21693,20.077916,62.14348802,3.789865845,30201682
21694,20.443044,62.36543605,3.77769456,30250296
21695,20.880376,62.29035908,3.775968793,30257208
21696,20.822529,62.13651305,3.798644203,30166765
