x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
18295,22.214528,63.61343397,3.38771042,31944045
18296,20.06766,60.59354202,3.387605008,31944542
18297,20.75935,62.271487,3.387455063,31945249
18298,18.43279,62.27846201,3.387359417,31945700
18299,20.80653,62.14923099,3.387496419,31945054
18300,20.756479,62.20297496,3.387605008,31944542
18301,20.579659,61.94451402,3.3874996,31945039
18302,20.625607,62.18041097,3.387780839,31943713
18303,20.525505,62.15415399,3.388015445,31942607
18304,18.692483,62.17179604,3.388549018,31940092
18305,20.603043,62.14923099,3.389266306,31936712
18306,20.701914,62.18492301,3.389977876,31933360
18307,20.827863,62.23538502,3.390755085,31929700
18308,20.410633,62.04502702,3.394320717,31912925
18309,18.695764,62.15251301,3.408790559,31845120
18310,20.666222,62.21733405,3.429426796,31749163
18311,20.849196,62.25630802,3.450673087,31651270
18312,21.136376,62.52543601,3.45320116,31639682
18313,20.622735,61.68071905,3.432478779,31735045
18314,20.815556,62.35600102,3.445258258,31676133
18315,20.609608,62.10369298,3.444116943,31681381
18316,20.644889,62.08400002,3.440738733,31696930
18317,20.140274,62.235385,3.429060866,31750857
18318,20.677299,62.13118002,3.428652666,31752747
18319,20.258428,62.31333399,3.437672477,31711063
18320,20.214531,62.06964199,3.423065722,31778649
18321,21.20858,62.67723,3.394106089,31913934
18322,20.652684,61.59620699,3.391272949,31927262
18323,20.583351,62.26697502,3.38759207,31944603
18324,20.651043,62.16933298,3.374890733,32004658
18325,20.65842799,62.12666799,3.378227745,31988847
