x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
19708,20.771248,61.86328295,3.387978534,31942781
19709,21.440786,62.86471802,3.388007808,31942643
19710,20.44919701,61.4546679,3.388049174,31942448
19711,20.665402,61.99087295,3.387889442,31943201
19712,19.835455,62.44707698,3.388039416,31942494
19713,20.816376,62.00810295,3.387879685,31943247
19714,20.786837,62.09138501,3.388141666,31942012
19715,20.714222,62.05487299,3.387941836,31942954
19716,20.624786,62.09466696,3.387866745,31943308
19717,21.960989,63.54122901,3.387767901,31943774
19718,20.721607,60.81056702,3.387713602,31944030
19719,21.316068,62.868,3.388080782,31942299
19720,20.655556,61.55600098,3.388280624,31941357
19721,20.637915,62.07907802,3.388793465,31938940
19722,20.575556,62.18861601,3.400486184,31883981
19723,23.682422,65.70450696,3.390393416,31931403
19724,20.721197,58.55744299,3.394207125,31913459
19725,20.851248,62.34164101,3.407066112,31853178
19726,20.641197,61.96133399,3.415972041,31811628
19727,20.765095,62.29528299,3.44657404,31670086
19728,20.709299,62.11928198,3.436071445,31718450
19729,20.654325,62.13815501,3.436164611,31718020
19730,20.810633,62.38759005,3.451563093,31647189
19731,20.601403,61.92564198,3.424628353,31771398
19732,20.319967,62.25794896,3.424896334,31770155
19733,20.680171,62.20297402,3.425696798,31766443
19734,20.808581,62.34984699,3.448971234,31659078
19735,20.698633,62.0364109,3.435848078,31719481
19736,20.555454,61.99784696,3.425350873,31768047
19737,19.645917,62.18369299,3.424686776,31771127
19738,21.751759,63.24215201,3.437894503,31710039
19739,20.655556,61.07148999,3.426204998,31764087
19740,20.555044,62.19148797,3.446277396,31671449
19741,21.876067,63.39763895,3.445728389,31673972
19742,20.487351,60.99395096,3.460886391,31604533
19743,20.369608,62.20051399,3.423719651,31775614
19744,20.688787,62.05077001,3.423578723,31776268
19745,20.231351,62.41425598,3.424099382,31773852
19746,20.888171,62.16974401,3.423137247,31778317
19747,20.400377,61.96010396,3.432667852,31734171
19748,20.653504,62.24933299,3.422642438,31780614
19749,21.439965,63.06738394,3.420640388,31789913
19750,20.621915,61.24092501,3.420481574,31790651
19751,19.468686,62.16810298,3.430601667,31743726
19752,20.346633,62.173437,3.419865789,31793513
19753,19.37884,62.09958991,3.419085217,31797142
19754,21.290222,62.79907694,3.43016056,31745767
19755,21.567144,62.43312794,3.419383304,31795756
19756,20.3893,61.286874,3.419112744,31797014
19757,20.793812,62.31374392,3.428942286,31751406
19758,20.404479,62.23743597,3.418822863,31798362
19759,20.850837,62.14594895,3.41803147,31802043
19760,20.706837,62.06882095,3.43424031,31726905
19761,19.84653199,62.20994997,3.394176707,31913602
19762,20.674427,62.10164106,3.390021189,31933156
19763,20.399557,62.25015497,3.400557002,31883649
19764,19.672583,62.12256405,3.390732572,31929806
19765,21.19217,62.77569193,3.390545467,31930687
19766,20.686325,61.509233,3.390134358,31932623
19767,20.700274,62.19928202,3.387926351,31943027
19768,20.59689,62.13815501,3.389699547,31934671
19769,20.670325,62.18943605,3.388542441,31940123
19770,20.011455,62.46266705,3.387421343,31945408
19771,20.79012,61.92318001,3.386811283,31948285
19772,20.792992,62.24071896,3.386573623,31949406
19773,21.954015,63.32420298,3.398599871,31892828
19774,21.140068,61.25651494,3.388341302,31941071
19775,20.166941,61.74225798,3.387937169,31942976
19776,20.622325,62.13076997,3.388589121,31939903
19777,21.284478,62.95292193,3.388100087,31942208
19778,18.361816,61.32584798,3.388255378,31941476
