x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
19325,14.571873,61.948616,3.390858733,31929212
19326,27.791545,60.05282499,3.390824962,31929371
19327,29.762413,73.416495,3.39107624,31928188
19328,20.270326,56.892214,3.39076613,31929648
19329,18.933713,59.506364,3.390801174,31929483
19330,19.223764,64.72194499,3.391136993,31927902
19331,20.747863,58.44667299,3.391953063,31924061
19332,20.705607,62.25425699,3.402056003,31876624
19333,20.556274,62.03025699,3.41682889,31807639
19334,15.396077,62.13405201,3.41879534,31798490
19335,20.446736,62.41302603,3.399439104,31888891
19336,30.745386,54.25098798,3.399888799,31886782
19337,9.202036001,50.73714697,3.406706964,31854857
19338,19.990121,60.67149001,3.394814077,31910606
19339,20.764684,62.18615502,3.393963582,31914604
19340,15.296385,62.21815398,3.391428458,31926530
19341,20.59894,62.102872,3.39118054,31927697
