x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
17751,21.17494,62.70759003,3.400728723,31882844
17752,20.600582,61.70451398,3.401228175,31880503
17753,20.692889,62.18656401,3.400646807,31883228
17754,20.656376,62.055283,3.400625902,31883326
17755,20.549299,62.23702604,3.401079032,31881202
17756,20.699453,62.19764201,3.40061289,31883387
17757,20.137813,62.045847,3.400902164,31882031
17758,20.807761,62.272718,3.400786535,31882573
17759,20.616172,62.048719,3.402674669,31873726
17760,20.631761,62.18123095,3.402957801,31872400
17761,20.69083799,62.134462,3.403017165,31872122
17762,20.887761,62.38430798,3.404072307,31867182
17763,28.285493,69.54162996,3.408413372,31846882
17764,20.387659,54.64442299,3.468362191,31570454
17765,21.249196,62.63948698,3.445066622,31677014
17766,20.739659,61.72830904,3.453697589,31637408
17767,20.688377,62.11518002,3.467620968,31573828
17768,21.401811,63.04523003,3.477446167,31529192
17769,20.670735,61.30451401,3.436812328,31715031
17770,28.951747,70.36501302,3.4089355,31844443
17771,20.622325,53.92934696,3.400929472,31881903
17772,20.7413,62.116822,3.397034147,31900177
17773,20.60222301,62.14923103,3.393078112,31918768
17774,20.930017,62.40564096,3.394157351,31913693
17775,20.699864,62.00235996,3.395865407,31905666
17776,20.551351,62.18410301,3.39640403,31903136
17777,16.680998,62.21938498,3.397293996,31898957
17778,20.75935,62.13282101,3.398565984,31892987
17779,20.579659,62.110668,3.397191331,31899439
17780,20.670735,62.09835902,3.397876209,31896224
17781,18.594021,62.24564201,3.396966633,31900494
17782,20.599351,62.08851299,3.397221789,31899296
17783,20.669504,62.18082099,3.397542585,31897790
17784,20.627248,62.078667,3.398264648,31894401
17785,20.829915,62.30636004,3.397665931,31897211
17786,20.697813,62.20461601,3.398131467,31895026
17787,20.683864,62.21979502,3.398412114,31893709
17788,20.056993,62.64235899,3.398899972,31891420
17789,20.731043,61.62451398,3.398705584,31892332
17790,20.701914,62.104513,3.399055794,31890689
17791,20.589504,62.14348798,3.398947933,31891195
17792,20.880376,62.299795,3.39904279,31890750
17793,19.967147,62.02861702,3.40021957,31885231
17794,20.870941,62.39087199,3.399927183,31886602
