x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
23085,24.52878,66.067994,3.749158543,30365200
23086,20.63094,58.25590396,3.749035077,30365700
23087,20.237506,62.235796,3.793816447,30185953
23088,20.572274,62.28215393,3.798697595,30166553
23089,18.878739,62.31702602,3.804722415,30142659
23090,20.653094,61.95682096,3.810203669,30120970
23091,20.491044,62.14800096,3.797730682,30170393
23092,20.682222,62.28625596,3.944453959,29603946
23093,20.486531,62.153745,3.859886744,29926489
23094,20.883248,62.33466694,3.989808823,29435201
23095,20.643248,62.03600001,3.954958013,29564607
23096,24.219038,65.715175,4.164799458,28810182
23097,20.660479,58.62882602,4.343541998,28211166
23098,19.842429,62.16276997,4.469891892,27809587
23099,20.51853,62.22718006,4.554776194,27549234
23100,21.128991,62.62840992,4.5633263,27523413
23101,20.87012,62.67887211,5.086028404,26070758
23102,20.72653,61.40789899,5.02682144,26223842
23103,20.738428,61.88174498,5.153414256,25899747
23104,20.692479,62.25343603,5.105431158,26021171
23105,20.684274,62.15210295,5.038808445,26192631
23106,23.6455,65.08050895,5.070770453,26109952
23107,20.686325,59.26554295,5.081695593,26081870
23108,20.146018,62.19805196,4.826216203,26763300
23109,20.728171,62.27066714,4.996485872,26303329
23110,19.594225,62.05979598,5.089030929,26063066
23111,16.944383,62.25917998,4.755618606,26961220
23112,19.622122,62.14882106,4.909130483,26536324
23113,20.974325,62.487692,4.880053395,26615263
23114,20.77453,61.97569293,5.057367962,26144526
23115,20.568992,62.02164194,4.872626453,26635539
23116,20.77453,62.27969295,4.981525154,26342797
23117,20.287557,62.19517997,4.97922758,26348874
23118,20.243659,62.22307703,4.748620233,26981080
23119,16.705203,62.2583589,4.109462382,29003509
23120,2.606353998,51.58801797,3.924243379,29680081
23121,2.957124002,51.93058202,4.022032653,29317049
23122,4.974349998,53.780424,4.021424692,29319265
23123,4.507889997,51.88914597,3.948713384,29587975
23124,4.919786002,51.84729904,4.015952121,29339235
23125,7.580294997,53.44893804,3.932187447,29650085
23126,4.987068001,50.27889201,3.878522016,29854508
23127,1.997536,50.92135301,3.92972135,29659387
23128,7.373937003,54.18780804,3.924284632,29679925
23129,4.829531003,50.49961001,3.928033642,29665758
