x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
2437,5725.2192,5725.2772,2.561210738,36738413
2438,20.4935,61.9784,2.659191596,36055227
2439,20.368999,62.367599,2.641635012,36174842
2440,18.2318,67.369001,2.592822829,36513766
2441,20.7538,62.008,2.456531917,37513004
2442,20.7737,62.2339,2.366661346,38218619
2443,20.8683,62.2271,2.338067961,38451606
2444,20.7382,62.1382,2.316095003,38633572
2445,20.689201,67.4681,2.310450826,38680732
2446,20.9756,62.1894,2.305902681,38718860
2447,20.6636,62.0427,2.29196775,38836385
2448,20.9285,62.2495,2.287654702,38872978
2449,12.9143,54.1771,2.369106153,38198894
2450,17.8399,61.6048,0.047974046,268435455
2451,20.5893,60.2224,0.047974046,268435455
2452,20.7016,62.0587,2.453722281,37534475
2453,20.590199,62.190399,2.506364648,37138206
2454,20.5686,62.155101,2.941924052,34278935
2455,19.448301,64.8946,60.22341122,7576356
2456,20.6315,62.1722,0.047974046,268435455
2457,20.5086,62.0751,0.047974046,268435455
2458,19.9274,61.6587,57.26017461,7769923
2459,20.873799,67.947499,53.12863225,8066381
2460,9.994101,56.527501,59.93181322,7594765
2461,20.578,70.1169,0.047974046,268435455
2462,18.662399,59.908899,62.50016899,7437080
2463,20.6806,62.043101,63.55209866,7375273
2464,17.793101,59.1438,0.047974046,268435455
2465,20.6549,52.0868,2.92990748,34349158
2466,20.8207,62.3062,2.594400242,36502664
2467,20.8185,62.1248,2.533206201,36940926
2468,20.7332,62.0694,2.516273019,37065014
2469,12.671499,54.009499,2.477049296,37357321
2470,15.5527,62.236701,2.554405109,36787321
2471,20.5612,59.948399,2.6604054,36047001
2472,20.6251,62.091601,2.668434784,35992727
2473,20.4832,62.1286,2.668603086,35991592
2474,20.754599,62.204099,2.672137237,35967783
2475,20.696201,62.233801,2.683927554,35888694
2476,20.6422,62.1577,2.561089856,36739280
2477,18.3364,64.6387,2.502993004,37163211
2478,20.3542,61.7375,2.569731427,36677454
2479,20.2703,59.9776,2.430963028,37709769
2480,20.649299,62.001299,2.403206088,37926917
2481,20.5159,62.463701,2.677544416,35931447
2482,20.5118,62.0097,2.669524652,35985379
2483,20.4721,62.2074,2.563291318,36723500
2484,20.5112,62.3561,2.53456164,36931047
2485,18.2661,51.7746,2.538917262,36899355
2486,20.3377,61.7958,2.486256004,37288089
2487,20.600799,59.912199,2.556508824,36772182
2488,20.472901,62.287601,27.67539844,11176250
2489,18.5984,67.3265,2.513992309,37081823
2490,20.6084,51.7213,0.047974046,268435455
2491,20.7815,62.2178,0.047974046,268435455
2492,20.657301,62.1267,0.047974046,268435455
2493,20.7294,62.2635,0.047974046,268435455
2494,20.662901,67.2986,3.231653824,32706241
2495,20.6267,62.0419,0.047974046,268435455
2496,20.5239,62.1658,0.047974046,268435455
2497,20.6632,62.1685,0.047974046,268435455
2498,20.5164,62.3511,201.7786951,4139095
2499,20.6189,61.8884,2.554854148,36784088
2500,19.167801,52.0339,97.10746817,5966460
2501,12.747,58.8839,0.047974046,268435455
2502,20.7455,60.1726,0.047974046,268435455
2503,20.6276,62.0928,2.713294287,35693949
2504,20.5141,62.0494,2.890808621,34580668
2505,20.7013,62.2542,0.047974046,268435455
2506,20.6152,57.0637,2.945705454,34256926
2507,18.547,59.7017,2.848866491,34834293
2508,18.5375,59.5368,2.713850958,35690288
2509,20.682,62.1056,2.675299703,35946518
2510,20.7117,62.2227,2.591202443,36525181
2511,18.2832,59.6092,2.92224149,34394183
2512,20.6256,62.0681,0.047974046,268435455
2513,20.640501,62.1479,0.047974046,268435455
2514,13.1523,62.074,62.29682254,7449208
2515,20.599,54.4723,62.46381295,7439244
2516,18.668501,59.8613,0.047974046,268435455
2517,20.4758,61.941,2.634940937,36220764
2518,18.6722,64.8499,2.666047507,36008838
2519,20.385101,61.8525,2.610863217,36387397
2520,20.6434,59.8416,2.68413442,35887311
2521,20.2656,62.1926,2.63055775,36250928
2522,19.5345,64.7963,2.579357856,36608948
2523,20.7176,62.0783,2.417138558,37817453
2524,20.781301,62.2427,2.551276372,36809871
2525,20.6683,62.2321,31.87415577,10414147
2526,17.795,59.2596,2.509395152,37115774
2527,20.522,51.9642,2.549179526,36825007
2528,20.6611,67.3394,2.587639113,36550321
2529,18.054299,54.263499,2.518098301,37051578
2530,20.8425,52.108301,2.545178932,36853937
2531,20.6574,69.7612,0.047974046,268435455
2532,20.673,62.4467,31.78009615,10429547
2533,20.4377,61.891,0.047974046,268435455
2534,18.754599,54.640699,0.047974046,268435455
2535,20.7113,61.972201,2.655244736,36082014
2536,20.928,62.3163,2.906360274,34488025
2537,15.2933,56.6792,2.652014767,36103980
2538,11.785299,58.621199,28.79359409,10957087
2539,9.9704,50.082701,28.07837118,11095761
2540,20.6887,59.799,28.30354872,11051535
2541,20.595,54.440699,27.94045522,11123112
2542,20.980699,65.1441,29.22994284,10874995
2543,20.7084,62.003901,29.0818291,10902653
2544,20.9654,62.326399,27.88894662,11133379
2545,12.568,53.924801,28.06890425,11097632
2546,18.7292,67.6584,28.42306601,11028275
2547,17.4097,58.8167,28.18560318,11074634
2548,20.519401,60.3322,32.01101463,10391861
2549,20.529699,62.204599,36.6411601,9713113
2550,21.0982,62.491201,0.047974046,268435455
2551,20.382,61.7944,0.047974046,268435455
2552,14.8422,64.0309,0.047974046,268435455
2553,20.8309,60.3917,0.047974046,268435455
2554,20.7601,62.0946,33.37542067,10177232
2555,20.6395,59.5508,33.56968483,10147742
2556,20.7242,62.2406,33.42694748,10169385
2557,19.465001,59.4254,30.82043288,10590676
2558,12.6088,56.8015,0.047974046,268435455
2559,20.431701,59.842,0.047974046,268435455
2560,9.964399999,51.3652,0.047974046,268435455
2561,20.550101,60.0842,0.047974046,268435455
2562,20.826501,62.1627,0.047974046,268435455
2563,20.9102,62.5428,31.34442797,10501779
2564,18.3416,53.9952,31.30681313,10508086
2565,15.961,56.7496,31.96517223,10399310
2566,20.831999,57.325899,33.3195571,10185760
2567,18.360199,56.8917,33.77174441,10117339
2568,17.712301,59.039901,34.57111383,9999686
2569,16.8684,63.6827,34.78383136,9969063
2570,20.8027,61.2603,35.09819274,9924318
2571,20.713499,62.215699,28.80764246,10954415
2572,18.563099,51.7964,28.71878859,10971348
2573,20.833801,67.317401,28.36133755,11040270
2574,20.9623,62.291299,28.753215,10964778
2575,18.839701,57.146001,28.59643043,10994795
2576,15.252,56.3673,28.8207011,10951933
2577,15.9309,64.8538,29.05144448,10908353
