x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
4323,17262.2094,17283.1012,2.428176409,37731401
4324,15.232201,62.3213,2.449119352,37569730
4325,20.3538,60.1803,2.428570048,37728343
4326,18.5057,67.3015,2.424774489,37757860
4327,18.413799,64.808999,2.369276842,38197518
4328,15.4187,56.991701,2.418160131,37809464
4329,20.8543,57.1916,2.422389997,37776439
4330,20.731801,62.0423,2.396421137,37980570
4331,21.174501,62.5348,2.265109876,39065952
4332,14.9878,56.1612,2.254428726,39158387
4333,20.9338,52.4136,2.249960189,39197253
4334,12.501801,53.8344,2.252652872,39173819
4335,20.9829,55.0373,2.260301702,39107481
4336,20.653799,67.098499,2.281515901,38925240
4337,19.580501,52.051901,2.2905374,38848509
4338,20.518601,61.9298,2.296866361,38794949
4339,18.4892,64.6994,2.289201227,38859845
4340,20.8076,62.2479,2.311077893,38675484
4341,20.908,65.0166,2.300287271,38766091
4342,20.766499,61.974899,2.313085555,38658696
4343,20.7104,62.088501,2.32008601,38600329
4344,20.75,62.2356,2.316660798,38628854
4345,20.6665,62.1377,2.318761135,38611355
4346,17.9153,56.5394,2.325328973,38556788
4347,15.1348,59.6753,2.331988957,38501691
4348,18.9978,64.977,2.336861075,38461534
4349,20.4322,62.296299,2.337452123,38456671
4350,17.9795,67.328301,2.365886864,38224874
4351,20.8052,67.5413,2.349549408,38357541
4352,12.2797,53.5991,2.354359824,38318335
4353,12.2652,59.751599,2.346481145,38382611
4354,20.699699,59.9204,2.350533209,38349513
4355,16.137099,51.9745,2.347729142,38372408
4356,18.3785,64.5329,2.359385588,38277502
4357,20.5065,62.081501,2.356914575,38297562
4358,20.710199,62.250099,2.353917134,38321938
4359,20.508499,62.0675,2.367010019,38215804
4360,20.6719,70.021701,2.403134234,37927484
4361,18.7827,54.4643,2.395009547,37991761
4362,20.4104,62.0338,2.401371606,37941401
4363,18.2607,51.9093,2.412838542,37851136
4364,20.7562,61.9856,2.432088592,37701042
4365,20.694601,62.2158,2.453098485,37539247
4366,18.4627,59.6827,2.396728192,37978137
4367,18.1069,59.4223,2.3240172,38567668
4368,18.553199,67.414999,2.247497759,39218720
4369,20.4912,51.813201,2.251137256,39187004
4370,20.8852,62.3994,2.289048188,38861144
4371,6.7881,53.2007,2.327684146,38537277
4372,20.5454,60.5176,2.246000623,39231789
4373,20.6673,62.2475,2.246354238,39228701
4374,20.5231,62.155699,2.246319079,39229008
4375,20.633401,62.146501,2.39755449,37971592
4376,20.6213,62.3667,2.349087989,38361308
4377,20.5669,61.9427,2.35848185,38284835
4378,21.0693,62.5352,2.331729746,38503831
4379,20.193401,61.8191,2.333303,38490848
4380,18.1914,64.7904,2.314420899,38647542
4381,20.685201,62.153,2.324698267,38562018
4382,17.173,59.1401,2.316485209,38630318
4383,20.9866,60.3201,2.319743207,38603181
4384,20.4564,61.9717,2.314166647,38649665
4385,20.754999,62.214799,2.310918115,38676821
4386,12.6826,54.108901,2.309369829,38689784
4387,12.931199,59.438599,2.310228044,38682597
4388,20.6169,59.914801,2.310442105,38680805
4389,20.842699,59.865799,2.304801188,38728111
4390,12.4416,53.943901,2.304844633,38727746
4391,20.7263,57.4352,2.306530042,38713594
4392,20.5065,61.9309,2.306451518,38714253
4393,10.2137,51.6638,2.307755362,38703315
4394,20.5802,59.6905,2.30878928,38694648
4395,20.663799,62.176399,2.304624804,38729593
4396,18.4144,52.047601,2.304940215,38726943
4397,20.720699,61.988999,2.309675469,38687224
4398,20.5812,54.466001,2.320356628,38598078
4399,21.0079,59.7774,2.306737273,38711855
4400,20.691,61.9659,2.324023588,38567615
4401,20.960201,59.8352,2.337123209,38459377
4402,20.6135,61.911,2.335841276,38469929
4403,20.7215,62.1993,2.338110282,38451258
4404,20.702699,62.161999,2.340179827,38434252
4405,11.784601,55.711301,2.337734418,38454349
4406,20.5316,60.8159,2.330084882,38517419
4407,18.1369,54.3374,2.316048962,38633956
4408,17.7577,59.3726,2.316312038,38631762
4409,20.5497,59.7614,2.327589199,38538063
4410,9.465,51.0014,2.341991318,38419385
4411,20.728499,60.529399,2.353656592,38324059
4412,18.500599,51.7823,2.391281293,38021366
4413,17.4301,58.934701,2.2921598,38834758
4414,20.883901,52.6349,2.246138944,39230581
4415,20.5999,61.9492,2.246337403,39228848
4416,20.8087,62.3104,2.24658262,39226707
4417,20.599401,62.0215,2.246589149,39226650
4418,20.891399,62.280599,2.24661664,39226410
4419,7.650599,54.2832,2.246712862,39225570
4420,21.1276,57.325001,2.246812985,39224696
4421,20.8767,61.9165,2.246685026,39225813
4422,20.6309,62.2959,2.246191505,39230122
4423,20.5739,62.0994,2.2461307,39230653
4424,15.049499,56.470899,2.348458855,38366446
4425,20.1279,60.037001,2.337389884,38457183
