x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
4700,19073.0514,19073.0649,2.680088488,35914389
4701,15.905899,56.875499,2.678672828,35923878
4702,20.5313,59.479701,2.681396983,35905625
4703,20.612299,62.164799,2.670600937,35978127
4704,16.0534,64.857301,2.66323567,36027842
4705,20.8402,57.0583,2.661489023,36039662
4706,10.045699,51.332999,2.660033764,36049519
4707,18.779799,67.6917,2.660730315,36044800
4708,20.7311,62.226501,2.661617377,36038793
4709,20.769101,62.192,2.666350796,36006790
4710,20.591801,62.1219,2.687397488,35865517
4711,18.6833,59.5087,61.38504771,7504327
4712,20.4057,62.2877,61.22135141,7514353
4713,20.8186,54.3979,63.91342278,7354396
4714,20.770301,64.7353,61.902836,7472876
4715,20.619,62.1692,60.81851327,7539198
4716,20.8292,62.3849,3.20526083,32840621
4717,20.6493,61.9602,61.94163837,7470535
4718,20.833501,62.1556,0.047974046,268435455
4719,9.6559,53.9472,0.047974046,268435455
4720,15.2045,59.1178,0.047974046,268435455
4721,20.5415,60.4012,0.047974046,268435455
4722,20.820801,59.7836,0.047974046,268435455
4723,20.6492,61.9698,0.047974046,268435455
4724,10.159101,51.686,0.047974046,268435455
4725,17.8226,64.598,0.047974046,268435455
4726,20.5845,70.3109,0.047974046,268435455
4727,12.7132,54.3022,0.047974046,268435455
4728,20.6803,69.8543,0.047974046,268435455
4729,20.8851,62.3101,0.047974046,268435455
4730,20.610099,62.010899,0.047974046,268435455
4731,16.1255,54.674901,0.047974046,268435455
4732,15.9033,64.567599,0.047974046,268435455
4733,21.143699,54.8195,0.047974046,268435455
4734,20.7684,66.961801,0.047974046,268435455
4735,20.5751,62.1099,0.047974046,268435455
4736,20.5546,62.1054,0.047974046,268435455
4737,19.679501,61.4159,0.047974046,268435455
4738,12.3869,52.141,0.047974046,268435455
4739,20.971801,60.3571,0.047974046,268435455
4740,20.6065,61.9076,0.047974046,268435455
4741,20.7031,62.2887,0.047974046,268435455
4742,20.4212,62.0955,0.047974046,268435455
4743,20.7184,57.1137,0.047974046,268435455
4744,12.780201,54.1605,0.047974046,268435455
4745,12.9924,61.91,0.047974046,268435455
4746,20.4882,57.264,0.047974046,268435455
4747,20.8156,62.3266,0.047974046,268435455
4748,20.587199,59.577199,0.047974046,268435455
4749,20.837899,62.1824,0.047974046,268435455
4750,12.375499,53.8766,0.047974046,268435455
4751,20.7696,54.840701,0.047974046,268435455
4752,20.677499,67.331499,0.047974046,268435455
4753,18.807399,51.9998,0.047974046,268435455
4754,15.2901,56.606501,0.047974046,268435455
4755,20.872099,57.384599,0.047974046,268435455
4756,20.627399,61.9662,0.047974046,268435455
4757,20.7802,62.312401,0.047974046,268435455
4758,20.733499,62.274099,0.047974046,268435455
4759,20.741399,62.0417,0.047974046,268435455
4760,20.785701,62.180901,0.047974046,268435455
4761,20.6221,62.0221,0.047974046,268435455
